Well ID,WellName,ENVOperator,County,ENVInterval,CompletionDate,LL,Total Fluid,Total Proppant,Well Spacing,"Fluid, bbl/ft","Proppant, lb/ft",ppg,Oil EUR,Gas EUR,"Isopach, ft",Eff Porosity,Sw,TVD,FVF
42-317393750000,CROSS BAR RANCH 1811MS,CONOCOPHILLIPS,MARTIN,MIDDLE SPRABERRY,3/8/2015,7233,190757,6871090,,26.4,950,0.856782107,466,488,250.2,0.078,0.226120371,8570.1,1.4
42-173371580000,BARBEE 37 45AN,DISCOVERY,GLASSCOCK,WOLFCAMP A,8/13/2016,10162,299642,12454476,,29.5,1226,0.989507667,334,1414,293.2,0.045,0.118486729,7086.6,1.6
42-461398230000,XBC GIDDINGS ESTATE 2107H,PIONEER,UPTON,WOLFCAMP B UPPER,4/30/2015,7627,280965,8594466,,36.8,1127,0.729166667,342,1590,254.1,0.071,0.163327861,9413,1.5
42-329401390000,MCCLINTIC 10C 3H,PIONEER,MIDLAND,WOLFCAMP B UPPER,8/14/2015,5806,294214,9643109,,50.7,1661,0.780031934,340,2399,235.6,0.073,0.343633752,9047.8,1.7
42-329401840000,MIDLAND 'AC/AF' FEE 11 11HB,CHEVRON,MIDLAND,WOLFCAMP A,11/2/2015,7317,220557,9284557,,30.1,1269,1.003796868,209,375,351.3,0.067,0.128728653,9756.5,1.7
42-329400450000,"O DANIEL, E. T. 0303H",PIONEER,MIDLAND,WOLFCAMP B UPPER,9/30/2015,9452,368269,7259519,,39,768,0.468864469,280,1854,336.7,0.08,0.324615136,9017.4,1.7
42-317389380000,CROSS BAR RANCH 3025WD,CONOCOPHILLIPS,MARTIN,WOLFCAMP D,6/6/2014,4326,131155,6544660,,30.3,1513,1.188904605,,,302.5,0.046,0.291593297,10356.8,1.4
42-227406100000,PASSOW 25-24 (ALLOC-C) 3NB,LAREDO,HOWARD,WOLFCAMP A,10/21/2020,9906,555885,21531436,,56.1,2174,0.922672099,,,389.1,0.053,0.220832006,7255.7,1.4
42-329441440000,THE BAR K 30-19 4311H,PIONEER,MIDLAND,WOLFCAMP B UPPER,12/6/2020,3363,337229,14430509,,100.3,4291,1.018610834,,,271.8,0.064,0.285585018,9115.9,1.5
42-461414950000,CVX KATIE (SA) X 4447LS,SM ENERGY,UPTON,LOWER SPRABERRY,12/21/2020,10305,469482,19616746,,45.6,1904,0.994152047,,,460.7,0.057,0.251357067,8961.4,1.4
42-329443470000,THUNDERBIRD B 50-51 2802H,PIONEER,MIDLAND,LOWER SPRABERRY,1/16/2021,10031,489931,20122886,,48.8,2006,0.978727557,,,429.8,0.07,0.244571615,8728.9,1.5
42-461388780000,HALFFEAST 36 NE 1H,TRP OPERATING,UPTON,WOLFCAMP B UPPER,10/19/2013,5270,180863,7944764,,34.3,1508,1.046786061,156,726,233,0.065,0.291494648,8839.2,1.5
42-383393640000,UNIVERSITY CENTRAL 0824FH,RRP OPERATING LLC,REAGAN,WOLFCAMP B UPPER,2/17/2016,9671,338622,17965657,,35,1858,1.263945578,230,,228.7,0.068,0.342525351,7708.1,1.5
42-461401540000,BROOK M-1A 1H,PIONEER,UPTON,WOLFCAMP B UPPER,3/1/2016,9838,392775,13926796,,39.9,1416,0.844969567,,,295.7,0.091,0.269095716,9313.5,1.5
42-329398770000,PECAN ACRES 23 PSA 1 1H,PIONEER,MIDLAND,WOLFCAMP A,12/3/2015,9532,387281,13412473,,40.6,1407,0.825123153,873,1465,287.5,0.057,0.08835552,9760.5,1.7
42-317403200000,SCHARBAUER RANCH 2153H,PIONEER,MARTIN,LOWER SPRABERRY,6/27/2016,8168,375220,11387769,,45.9,1394,0.723104056,318,234,374.7,0.08,0.202567904,9341.5,1.4
42-173374700000,BARBEE B 47-1 (ALLOC-H) 8SU,LAREDO,GLASSCOCK,WOLFCAMP A,5/2/2017,13450,770192,24518340,,57.3,1823,0.757500208,514,4311,298.1,0.055,0.083051022,7270.8,1.6
42-317405520000,NORTH BUFFALO RIVER 27-34-39 271HW,LARIO OIL & GAS,MARTIN,WOLFCAMP A,12/27/2016,9990,483470,24910831,,48.4,2494,1.226879181,272,,342.7,0.063,0.197693825,8583.6,1.4
42-329412850000,MCC HZ UNIT 1105H,CONOCOPHILLIPS,MIDLAND,JO MILL,3/3/2019,9617,406571,0,,42.3,0,0,397,1301,431.9,0.064,0.499098706,8506.9,1.5
42-329413650000,DICKENSON A SN 20-17 07 207H,DIAMONDBACK,MIDLAND,WOLFCAMP B UPPER,9/6/2017,9722,468184,17338307,,48.2,1783,0.880754792,803,2236,164.8,0.062,0.28929332,9398.2,1.5
42-461403510000,DORCUS JANEY (SA) X 1962WA,SM ENERGY,UPTON,WOLFCAMP A,12/6/2016,7770,461362,14585340,,59.4,1877,0.752364919,257,330,448.2,0.056,0.077136334,9260.9,1.5
42-383380900000,SUGG-D- 1062HL,LAREDO,REAGAN,WOLFCAMP C,1/24/2013,7201,225235,8127065,,31.3,1129,0.85881637,133,2049,895.9,0.035,0.483206028,8135.3,1.5
42-329401870000,RIO GRANDE 25-20SL UNIT 1 2HB,ENDEAVOR,MIDLAND,WOLFCAMP B LOWER,2/10/2016,7552,283213,10924333,,37.5,1447,0.918730159,565,2829,188.9,0.054,0.277588176,9895.7,1.7
42-227382600000,HAMLIN UNIT 20-29 2H,SURGE OPERATING,HOWARD,WOLFCAMP A,11/22/2014,6325,0,294000,,,,,218,,500.5,0.08,0.092599797,7691.3,1.6
42-461388860000,XBC GIDDINGS ESTATE 2136H,PIONEER,UPTON,WOLFCAMP B LOWER,2/4/2014,7982,202090,8181510,,25.3,1025,1,205,,225.6,0.061,0.187448416,9571.8,1.5
42-461401130000,XBC GIDDINGS ESTATE 2139H,PIONEER,UPTON,WOLFCAMP B UPPER,11/7/2015,6272,458736,11937720,,73.1,1903,0.6,284,2013,223.9,0.076,0.180964292,9387,1.5
42-383383290000,UNIVERSITY 09 0820H,FDL,REAGAN,WOLFCAMP A,12/12/2013,9570,317902,15808284,,33.2,1652,1.2,,,371.6,0.061,0.102729741,7852.7,1.5
42-383394600000,MARCO 1601BU 2H,OCCIDENTAL,REAGAN,WOLFCAMP B UPPER,12/21/2015,6946,308783,12079933,,44.5,1739,0.9,285,2012,259.9,0.078,0.301402955,8574.3,1.5
42-317394590000,MABEE 239 306WB,CONOCOPHILLIPS,MARTIN,WOLFCAMP B UPPER,12/18/2014,7952,341689,11978117,,43,1506,0.8,220,,118.6,0.082,0.196985497,10048.3,1.4
42-383380860000,UNIVERSITY 9-31 9H,FDL,REAGAN,WOLFCAMP A,12/26/2012,7749,0,0,,,,,,,369.9,0.056,0.092541594,9000,1.5
42-329416110000,PEGASUS FIELD UNIT 3 102BH,CONOCOPHILLIPS,MIDLAND,WOLFCAMP B UPPER,4/18/2018,9480,529283,18805813,,55.8,1984,0.9,500,3128,165.5,0.063,0.040727069,9537.7,1.5
42-383398610000,OLIVER (39-34) 4807H,PIONEER,REAGAN,WOLFCAMP C,12/1/2017,10408,552925,19881066,,53.1,1910,0.9,509,6186,848.7,0.055,0.63278009,9382.5,1.5
42-329416730000,WTH 'E' 15-22 252,ENDEAVOR,MIDLAND,WOLFCAMP B LOWER,6/4/2018,10350,474902,16472500,,45.9,1592,0.8,285,,373.4,0.078,0.52157048,9223.7,1.5
42-227391450000,ZILBERT 6-43 UNIT 1WA,HANNATHON PETROLEUM,HOWARD,WOLFCAMP A,9/30/2017,7695,476248,20440034,,61.9,2656,1,232,147,354.7,0.061,0.091046844,6899.6,1.6
42-383399040000,ROCK HOLLOW D 1851CS,DISCOVERY,REAGAN,WOLFCAMP B LOWER,4/26/2018,9821,268123,14211014,,27.3,1447,1.3,133,2330,393.5,0.056,0.294349713,7309.5,1.5
42-317408740000,ACT F 02SA,DIAMONDBACK,MARTIN,LOWER SPRABERRY,1/31/2018,9322,270627,14235070,,29,1527,1.3,61,268,426.5,0.047,0.198147082,8721.5,2
42-227391640000,RYAN D 4SH,LEGACY,HOWARD,LOWER SPRABERRY,2/10/2018,7534,0,0,,,,,516,656,242.8,0.083,0.187918434,7158.4,1.6
42-173376630000,COX 22-27 4201H,PIONEER,GLASSCOCK,WOLFCAMP A,4/26/2018,7732,290844,13282410,,37.6,1718,1.1,157,227,398.1,0.062,0.111941629,7968.7,1.6
42-461406340000,MILLER 3748 C 4HM,APACHE,UPTON,WOLFCAMP B LOWER,12/18/2017,10419,528566,17259752,,50.7,1657,0.8,285,5760,438.8,0.081,0.285257999,9554.8,1.5
42-173376820000,BRUNSON 42-43 4301H,PIONEER,GLASSCOCK,WOLFCAMP B UPPER,4/20/2018,7337,281966,12901776,,38.4,1758,1.1,879,946,280.2,0.062,0.3932595,8532.2,1.6
42-329418690000,LRT UNIT 2 ALLOCATION 2318AH,EXXON,MIDLAND,WOLFCAMP A,3/6/2019,10317,684848,17772935,,66.4,1723,0.6,829,891,338.3,0.074,0.11018487,9437.7,1.5
42-383399670000,UNIVERSITY 9 2707WC,SEQUITUR,REAGAN,WOLFCAMP B LOWER,1/24/2018,7791,178961,17457607,,23,2241,2.3,271,,345,0.056,0.326019326,8677.8,1.5
42-227392340000,FARVA A 4844WA,SM ENERGY,HOWARD,WOLFCAMP A,3/13/2018,9954,617338,18974222,,62,1906,0.7,549,1130,364.3,0.056,0.06066016,7474.2,1.6
42-461406800000,KYLIE D 08WA,SUMMIT PETROLEUM,UPTON,WOLFCAMP A,2/16/2019,9947,0,0,,,,,267,2171,419.5,0.044,0.078382897,8701.3,1.5
42-317410600000,SHORTES 44-5 UNIT 2 251,ENDEAVOR,MARTIN,WOLFCAMP A,11/2/2018,7581,304925,11525748,,40.2,1520,0.9,369,,204,0.065,0.07029834,8547.3,2
42-227393760000,GARDNER UNIT 15-10 1SH,SURGE OPERATING,HOWARD,LOWER SPRABERRY,3/21/2018,7007,266897,13478306,,38.1,1924,1.2,,,337.5,0.074,0.217801458,7607.4,1.6
42-329421490000,GWENDOLYN 2626LB,HENRY RESOURCES LLC,MIDLAND,MIDDLE SPRABERRY,12/20/2018,7623,456325,15756244,,59.9,2067,0.8,504,414,325.6,0.077,0.149795357,8622.4,1.5
42-461407420000,MILLER 37 WEST B 2HM,APACHE,UPTON,WOLFCAMP B UPPER,4/16/2018,5097,257488,8318540,,50.5,1632,0.8,218,1842,231.2,0.089,0.266607548,9358,1.5
42-329422220000,"TIPPETT, JUNE 1213 HZ UNIT 20HS",APACHE,MIDLAND,LOWER SPRABERRY,11/23/2018,7653,558860,21390089,,73,2795,0.9,457,3621,411.1,0.069,0.23562258,8949.7,1.5
42-227394460000,CHIEF 33-28 4AH,LAREDO,HOWARD,WOLFCAMP A,5/1/2018,7597,426884,13852980,,56.2,1823,0.8,413,360,280.9,0.074,0.114891706,7441,1.6
42-329422570000,WINDHAM 11G 15HC,OVINTIV,MIDLAND,MIDDLE SPRABERRY,7/3/2018,8780,399940,17321028,,45.6,1973,1,403,1387,314.6,0.059,0.158680381,8291.1,1.5
42-329421050000,BOB MIDKIFF 48-01 0117 0107BH,EXXON,MIDLAND,WOLFCAMP B LOWER,10/13/2018,10309,624850,17583977,,60.6,1706,0.7,359,2506,246.9,0.075,0.401613195,9729.1,1.5
42-329422920000,TEXAS TEN Y PU 3941H,PIONEER,MIDLAND,WOLFCAMP A,1/5/2019,10022,477519,19427649,,47.6,1939,1,1023,4083,251.9,0.07,0.099128703,9425.2,1.5
42-227395270000,TOP GUN 0829LS,SM ENERGY,HOWARD,LOWER SPRABERRY,5/20/2019,10213,524609,19011639,,51.4,1862,0.9,1363,769,363.3,0.079,0.225968683,7708.6,1.6
42-461407870000,STRIDER F 9HB,CROWNQUEST,UPTON,WOLFCAMP B UPPER,1/15/2019,7627,390517,15275657,,51.2,2003,0.9,228,1774,263.9,0.088,0.254296259,9128.1,1.5
42-383401910000,SUGG A 141-140 (ALLOC-G) 7SU,LAREDO,REAGAN,WOLFCAMP A,10/26/2018,10207,478921,14925113,,46.9,1462,0.7,111,5231,326.6,0.065,0.076670364,7434.2,1.5
42-461395830000,PEGASUS FIELD UNIT 3 4610H,CONOCOPHILLIPS,UPTON,WOLFCAMP B UPPER,3/8/2015,9780,297347,16005968,,30.4,1637,1.3,436,3026,185,0.072,0.068546099,9551.3,1.5
42-383394140000,SRH A 9-8 (PSA-M) 13SM,LAREDO,REAGAN,WOLFCAMP B UPPER,10/20/2015,10575,612483,19417984,,57.9,1836,0.8,318,,322,0.057,0.238894226,7560.2,1.5
42-461402320000,KENNETT 29-41 2H,ENDEAVOR,UPTON,WOLFCAMP B LOWER,5/4/2016,6877,472345,9865881,,68.7,1435,0.5,447,1589,268.1,0.08,0.332557828,9282.2,1.5
42-383402700000,DIVIDE-SCOTT I 1482AS,DISCOVERY,REAGAN,WOLFCAMP A,4/20/2019,10495,459690,23456722,,43.8,2235,1.2,84,1002,345.8,0.072,0.162964429,7108.4,1.5
42-461408770000,BROOK D-W17A 1H,PIONEER,UPTON,WOLFCAMP B LOWER,8/6/2019,7172,374517,14494799,,52.2,2021,0.9,408,847,276,0.075,0.2972179,9447.4,1.5
42-317414820000,BIG RED UNIT 75-82 6AH,ELEMENT PETROLEUM III,MARTIN,WOLFCAMP A,11/13/2018,9630,448987,17550889,,46.6,1823,0.9,31,50,294.4,0.058,0.186956493,9074.8,2
42-383403250000,UNIVERSITY 25W R 3HA,APACHE,REAGAN,WOLFCAMP A,12/21/2018,4416,214144,7151522,,48.5,1619,0.8,181,605,376.7,0.065,0.106433397,7820.5,1.5
42-317415590000,HUGHES 43-47 UNIT 1 211,ENDEAVOR,MARTIN,WOLFCAMP B UPPER,2/26/2019,9787,412530,15413025,,42.2,1575,0.9,475,782,182.4,0.077,0.220409639,8591.3,2
42-329425690000,PRESTON W13G 7H,PIONEER,MIDLAND,WOLFCAMP A,5/5/2019,10022,480211,20110764,,47.9,2007,1,581,577,315.6,0.08,0.131428556,9040.2,1.5
42-317415750000,MARIENFELD 13-24-H 4215H,PIONEER,MARTIN,WOLFCAMP A,11/28/2018,9766,691406,29490993,,70.8,3020,1,685,255,214.2,0.074,0.137643912,8620.9,2
42-317416230000,DOVE-SCHARBAUER W9C 3H,PIONEER,MARTIN,WOLFCAMP B UPPER,9/17/2019,8987,382572,15269515,,42.6,1699,1,256,897,144.5,0.066,0.234749606,9880.8,1.6
42-461408930000,BROOK D-NW4F 6H,PIONEER,UPTON,WOLFCAMP B LOWER,7/13/2020,12961,873046,32505393,,67.4,2508,0.9,,,282.5,0.073,0.30937803,9302,1.5
42-227397220000,LAURIE CATHEY C 2750WA,SM ENERGY,HOWARD,WOLFCAMP A,6/21/2019,10393,551480,19347625,,53.1,1862,0.8,735,1573,278.9,0.074,0.091735128,8169.2,1.6
42-329427600000,KYLA D 22LA,HENRY RESOURCES LLC,MIDLAND,LOWER SPRABERRY,9/25/2019,10000,0,0,,,,,421,657,401.6,0.089,0.213381266,8605.1,1.5
42-227397290000,MCGREGOR 19 A 1LS,DIAMONDBACK,HOWARD,LOWER SPRABERRY,3/30/2019,13135,0,0,,,,,433,1124,327.9,0.063,0.224889161,7831.6,1.6
42-329428560000,TEXAS TEN-DEAVENPORT W39B 2H,PIONEER,MIDLAND,WOLFCAMP A,12/4/2019,10922,518150,18651375,,47.4,1708,0.9,993,1320,241,0.069,0.093021225,9463.4,1.5
42-317418940000,KATHRYN IDA UNIT 605H,DIAMONDBACK,MARTIN,MIDDLE SPRABERRY,7/11/2019,11344,488394,18366815,,43.1,1619,0.9,205,657,243.3,0.061,0.215646903,8405.7,1.6
42-317419020000,SHORTES 40 UNIT 2LS,DIAMONDBACK,MARTIN,LOWER SPRABERRY,8/14/2019,10317,440084,16743320,,42.7,1623,0.9,,,399.3,0.058,0.169855234,8159.1,1.6
42-317419080000,MCALPINE-GRISHAM 47-35 UNIT 2 262,ENDEAVOR,MARTIN,WOLFCAMP A,6/8/2019,12254,540235,19931913,,44.1,1627,0.9,674,1725,290.9,0.068,0.207560487,8762.3,1.6
42-329429540000,JOHN BRAUN A UNIT 1 0124SH,EXXON,MIDLAND,LOWER SPRABERRY,8/14/2019,7618,335580,10756428,,44.1,1412,0.8,311,,400.2,0.058,0.222127315,8894,1.5
42-317419410000,ROSALIE 6-3 UNIT 2 251,ENDEAVOR,MARTIN,WOLFCAMP A,7/20/2019,10332,479316,18744587,,46.4,1814,0.9,339,956,199.7,0.055,0.12724778,9556.1,1.6
42-227399760000,WRIGHT UNIT 40-33 2AH,CALLON,HOWARD,WOLFCAMP A,11/17/2019,8842,321467,13005300,,36.4,1471,1,247,446,344.5,0.075,0.216461347,8133.8,1.6
42-329430880000,WINDHAM 14E 20HF,OVINTIV,MIDLAND,LOWER SPRABERRY,7/2/2019,7495,383584,13962983,,51.2,1863,0.9,163,1900,469.3,0.058,0.24046067,9075.6,1.5
42-317421670000,PYKE UNIT 2 0309BH,EXXON,MARTIN,WOLFCAMP B UPPER,11/14/2019,9754,551867,14467153,,56.6,1483,0.6,401,1185,250.4,0.087,0.32235378,9165.2,1.6
42-227401330000,HIGHGARDEN 19G 1HK,OVINTIV,HOWARD,WOLFCAMP A,7/3/2019,6719,335810,12231700,,50,1820,0.9,285,594,399.4,0.058,0.287949485,7586,1.6
42-227401680000,TREE FROG 47 EAST C 3WB,DIAMONDBACK,HOWARD,WOLFCAMP B UPPER,12/26/2019,10325,0,0,,,,,239,780,181.7,0.065,0.195374939,8696.3,1.6
42-227401850000,SUNRISE STUDLEY 29-17 A 1WA,BIRCH OPERATIONS,HOWARD,WOLFCAMP A,6/15/2020,12772,557835,33372959,,43.7,2613,1.4,,,372.4,0.069,0.335730378,8028.4,1.6
42-227402100000,RED OAK E 4LS,CROWNQUEST,HOWARD,LOWER SPRABERRY,2/5/2021,7486,364165,15258003,,48.6,2038,1,,,433.8,0.065,0.224752478,7858,1.6
42-329435220000,BAUMANN E16I 109H,PIONEER,MIDLAND,LOWER SPRABERRY,4/8/2020,7622,329252,15311392,,43.2,2009,1.1,231,377,493.6,0.083,0.216752063,8907.5,1.5
42-317424110000,ZEUS 7-6 UNIT 2 251,ENDEAVOR,MARTIN,WOLFCAMP A,1/30/2020,9829,430000,15815890,,43.7,1609,0.9,587,1938,257.2,0.062,0.09102948,8650.8,1.7
42-317424600000,DARK STAR UNIT 1 2123SH,EXXON,MARTIN,LOWER SPRABERRY,5/15/2021,10430,357748,17764284,,34.3,1703,1.2,,,358,0.06,0.249712478,7997.5,1.7
42-227402570000,ARGENT BARKSDALE 29-17 C 3LS,BIRCH OPERATIONS,HOWARD,LOWER SPRABERRY,8/13/2020,12789,209459,33356051,,16.4,2608,3.8,,,354.3,0.069,0.219292904,7542.4,1.6
42-227402600000,ARGENT BARKSDALE 29-17 E 4WA,BIRCH OPERATIONS,HOWARD,WOLFCAMP A,8/14/2020,12784,570725,33672632,,44.6,2634,1.4,,,414.1,0.072,0.316192628,7925.6,1.6
42-317424930000,DARK STAR UNIT 1 & 2 ALLOCATION 2105BH,EXXON,MARTIN,WOLFCAMP B UPPER,5/25/2021,10342,0,0,,,,,,,238.5,0.072,0.356982654,8780.6,1.7
42-227403050000,OREDIGGER B 3150WA,SM ENERGY,HOWARD,WOLFCAMP A,11/30/2020,10088,315417,19068653,,31.3,1890,1.4,,,309.2,0.068,0.058070896,8116.6,1.6
42-227403180000,WOLFE-BROPHY UNIT 45-04 3MH,SURGE OPERATING,HOWARD,MIDDLE SPRABERRY,3/3/2020,6791,255583,13957816,,37.6,2055,1.3,248,721,255.3,0.122,0.172206196,7033.9,1.6
42-383391170000,ALDWELL K R 40 6H,PIONEER,REAGAN,WOLFCAMP B UPPER,10/28/2015,9722,399139,14626261,,41.1,1504,0.9,,,266.7,0.08,0.298842909,8642,1.5
42-383381950000,UNIVERSITY BLOCK 48 1811H,FDL,REAGAN,WOLFCAMP B UPPER,6/11/2013,7816,280470,10308762,,35.9,1319,0.9,,,357,0.068,0.224085576,7001.2,1.5
42-329402110000,DENISE 208NL,HENRY RESOURCES LLC,MIDLAND,LOWER SPRABERRY,11/26/2015,5822,270559,8329260,,46.5,1431,0.7,481,452,334.3,0.058,0.171354312,9195.5,1.7
42-329437210000,RIO WICHITA 15-10 D 143,ENDEAVOR,MIDLAND,LOWER SPRABERRY,4/30/2020,9901,435312,15853221,,44,1601,0.9,425,1859,425.3,0.057,0.243063232,9030.6,1.5
42-329437540000,CARMANITA 30LS,SUMMIT PETROLEUM,MIDLAND,LOWER SPRABERRY,1/21/2021,10060,0,0,,,,,,,338.2,0.059,0.248030845,9058.2,1.5
42-227404090000,KRAKEN 10-3 UNIT 1 221,ENDEAVOR,HOWARD,WOLFCAMP B UPPER,11/18/2020,9679,312449,15482133,,32.3,1600,1.2,,,175.1,0.058,0.194788614,8476.3,1.6
42-329438480000,ST 4041MS,DIAMONDBACK,MIDLAND,JO MILL,7/19/2020,10510,0,0,,,,,,,340.5,0.062,0.347533719,8641.9,1.5
42-317427260000,WILLIE THE WILDCAT 3-15 D 6WB,BIRCH OPERATIONS,MARTIN,WOLFCAMP B UPPER,4/20/2021,12618,705160,31270740,,55.9,2478,1.1,,,245,0.073,0.350774434,8757.3,1.7
42-317427480000,MABEE 318R 2HD,OVINTIV,MARTIN,JO MILL,5/19/2020,12069,0,0,,,,,,,398.7,0.06,0.321812478,8958.8,1.7
42-383397950000,BAST '33-40' 4413H,PIONEER,REAGAN,WOLFCAMP B LOWER,10/28/2017,10430,400520,14855152,,38.4,1424,0.9,243,1243,300.7,0.064,0.349170058,9031.3,1.5
42-173373740000,TOMAHAWK 2425 A 5LS,DIAMONDBACK,GLASSCOCK,LOWER SPRABERRY,1/18/2017,10423,464282,17247557,,44.5,1655,0.9,364,2011,259.2,0.046,0.222464816,7892.5,1.6
42-383398020000,HICKMAN D 2084SH,DISCOVERY,REAGAN,WOLFCAMP B UPPER,9/27/2017,9556,407729,18558644,,42.7,1942,1.1,273,3058,334.1,0.068,0.257311255,7275.4,1.5
42-329414930000,MCCLINTIC-MAURER 31D 4H,PIONEER,MIDLAND,WOLFCAMP A,8/27/2018,8522,380996,24559102,,44.7,2882,1.5,677,2367,265.4,0.072,0.109325514,8758.2,1.5
42-003474900000,FEE 'BN' 2101WB,FASKEN OIL AND RANCH,ANDREWS,WOLFCAMP B UPPER,10/1/2017,10674,0,0,,,,,383,311,179.8,0.058,0.16736067,9881,1.6
42-329415190000,JOHN BRAUN A UNIT 2 0118AH,EXXON,MIDLAND,WOLFCAMP A,3/3/2018,7739,460588,13037373,,59.5,1685,0.7,458,1881,313.6,0.062,0.0985813,9449.1,1.5
42-227390050000,MAVERICK 0341WA,SM ENERGY,HOWARD,WOLFCAMP A,9/23/2017,10418,794653,26174867,,76.3,2512,0.8,563,419,349.8,0.067,0.080381818,7846.4,1.6
42-173375360000,BOONE-COFFEE 70 207HL,"VENCER ENERGY, LLC",GLASSCOCK,LOWER SPRABERRY,8/10/2017,7220,334736,11722398,,46.4,1624,0.8,301,1225,439.8,0.068,0.224815737,8159.5,1.6
42-317407100000,DICKENSON 18-7ESL 3UB,ENDEAVOR,MARTIN,WOLFCAMP A,4/12/2018,10271,411126,16333760,,40,1590,1,340,611,244.2,0.05,0.151769373,9237.1,2
42-329415540000,GWENDOLYN 2512LA,HENRY RESOURCES LLC,MIDLAND,LOWER SPRABERRY,9/8/2017,10474,571181,19386316,,54.5,1851,0.8,797,1117,370.5,0.059,0.159654905,8975.5,1.5
42-003475160000,CROSS BAR RANCH 1729H,CONOCOPHILLIPS,ANDREWS,LOWER SPRABERRY,7/17/2018,6842,261113,13736265,,38.2,2008,1.3,308,514,346.3,0.064,0.214315843,9217.4,1.6
42-329415670000,A DAVIDSON 38B 1HL,OVINTIV,MIDLAND,WOLFCAMP A,9/30/2017,9925,488756,20455475,,49.2,2061,1,685,2471,301,0.074,0.049574465,9700,1.5
42-329415660000,A DAVIDSON 38C 7HE,OVINTIV,MIDLAND,LOWER SPRABERRY,10/9/2017,10424,500134,21570498,,48,2069,1,270,1408,445.4,0.065,0.144496802,8797.6,1.5
42-227390670000,FLETCH A 1368WB,SM ENERGY,HOWARD,,11/3/2017,10287,609386,19468606,,59.2,1893,0.8,142,206,0,0,0,,1.6
42-317407030000,WOODY-HOWARD 37G 7H,PIONEER,MARTIN,WOLFCAMP B,12/24/2017,9979,408691,19862372,,41,1990,1.2,577,946,156.8,0.06,0.231497161,9610.4,2
42-173375650000,HARRIS-COOK 80 108HB,"VENCER ENERGY, LLC",GLASSCOCK,WOLFCAMP A,11/27/2017,9462,456590,13820167,,48.3,1461,0.7,126,469,449.2,0.07,0.152427785,8770.1,1.6
42-329416520000,CASSELMAN8 27UL,CALLON,MIDLAND,LOWER SPRABERRY,5/8/2019,4987,174767,8964649,,35,1798,1.2,152,1247,298.2,0.048,0.201359855,9146.9,1.5
42-227391140000,PHILLIPS 5B 4HF,OVINTIV,HOWARD,LOWER SPRABERRY,9/1/2017,9340,0,449636,,,,,182,143,290.6,0.068,0.178397641,7151.2,1.6
42-383398680000,UNIVERSITY 9 2901WB,SEQUITUR,REAGAN,WOLFCAMP B,11/19/2017,7791,0,0,,,,,264,,358.5,0.062,0.271269138,8214.6,1.5
42-173376030000,SAXON K 1104WA,DIAMONDBACK,GLASSCOCK,WOLFCAMP A,12/10/2017,10025,351379,16531452,,35.1,1649,1.1,485,1871,222.8,0.063,0.170754469,8427,1.6
